ID,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser,x,y
[ohne Angabe],0.352941,0.294118,0,1.764706,0.058824,0.529412,4.764706,2.529412,1.823529,0,0.176471,0,0.294118,[ohne Angabe],-0.3612006998,0.5779406242
"Alexis, Willibald",48.6,4,0,59,0,1.4,4.6,3.2,7.8,16.6,3.2,0,0,"Alexis, Willibald",1.937751366,-3.913377394
"Ariosto, Ludovico",0.5,0,0,3.5,0,1,3,2.75,0.25,0,0,0,0,"Ariosto, Ludovico",0.7703582972,0.9072576202
"Baechtold, Jakob",0.666667,0,0,0.333333,0.666667,0,4,2,0.666667,0,0,0,0,"Baechtold, Jakob",0.1765957804,0.4406533423
"Fontane, Theodor",0.407407,0.185185,0.148148,19.296296,0.888889,10.407407,5.37037,2.259259,2.333333,0.037037,0.296296,0.592593,0,"Fontane, Theodor",-0.9385351035,0.4810861549
"Freytag, Gustav",48.5,1,0.5,300.5,0,94,5,2,10,16.5,0,0,0,"Freytag, Gustav",7.382536921,-4.628939383
"Goethe, Johann Wolfgang von",13,1.2,0.2,16.6,0,0.2,4,2,12,3.2,0,0,0,"Goethe, Johann Wolfgang von",0.3194509123,-1.218399762
"Hamerling, Robert",12,3.5,0.5,14.5,0,1,4,3,28,6,4,0,0,"Hamerling, Robert",-1.063765533,-3.388286612
"Heyse, Paul",3.769231,1.692308,0.153846,7,0,6.076923,4.692308,3.769231,4.846154,2.692308,0.153846,0,0,"Heyse, Paul",-0.1399484995,-0.5504584343
"Hopfen, Hans",33,1.5,0,4,0,8,5,3,15.5,10.5,1.5,0,0,"Hopfen, Hans",0.4595451368,-2.784108782
"Lenau, Nikolaus",0.333333,1.666667,0,3.666667,0,1.333333,5.666667,2.333333,1.333333,0.666667,1.333333,0,0,"Lenau, Nikolaus",-0.4949113206,-0.02115558109
"Lepel, Bernhard von",2,0,0,7,0,10,4.5,2.5,3,0,2,1,0,"Lepel, Bernhard von",-1.123675694,0.6254789542
"Lübke, Wilhelm",1.5,0.5,0,80.5,0,13,4,2.5,0,0,0,0,0,"Lübke, Wilhelm",1.472829341,-0.3184892896
"Pantenius, Theodor Hermann",0,0,0,2,0,2,4.5,2.5,1,0,0,0,0,"Pantenius, Theodor Hermann",0.08962862063,0.6400602343
"Pietsch, Ludwig",20,3.5,0,20,0,0,4.5,3,0.5,0,0,0,0,"Pietsch, Ludwig",0.1498303916,-1.273570063
"Platen, August von",7.75,0,0,8,0.25,7.75,4.5,3,0.5,0,1.25,0,0,"Platen, August von",-0.04455284255,0.7186364513
"Ritter, Benjamin",0.5,0,0,20,0,7,4,2,1.5,0,0.5,0,0,"Ritter, Benjamin",0.4895012911,0.2913585812
"Roquette, Otto",0.666667,0,0,2.333333,0,0,4.666667,3.333333,3.666667,6.333333,0.333333,0,0,"Roquette, Otto",-0.05144024485,-0.4715300535
"Sachs, Karl",0,0,0,51.666667,0,58.666667,2.666667,2.333333,0.666667,0,0,0,0,"Sachs, Karl",2.7374416,1.060784407
"Scherenberg, Christian Friedrich",4,1.5,4.5,3,0,1.5,4,1,0,0,33.5,0,0,"Scherenberg, Christian Friedrich",-6.998660563,-4.220257698
"Schiller, Friedrich von",30.666667,7,0,44.333333,0,45.333333,6,3,8.333333,1,0.666667,0,0,"Schiller, Friedrich von",-0.2712354477,-3.605060484
Sonstige,1.354839,0.677419,0.032258,13.096774,1,5.774194,4.870968,2.516129,3.387097,1.935484,0.774194,0.032258,0,Sonstige,-0.3300635553,0.03009794587
"Storm, Theodor",0.666667,0.444444,0,7.666667,0.111111,1,4.222222,2.444444,0.111111,0.111111,0,0,0,"Storm, Theodor",0.2016199077,0.5936691968
"Trojan, Johannes",0,0,0,10,0.5,2,5.5,3,0.5,0,0,0,0,"Trojan, Johannes",-0.4631470005,0.8338300293
"Zedlitz-Neukirch, Leopold von",1,0,0,8.166667,0.166667,2.5,4,1.666667,0.5,0,0.333333,0,0,"Zedlitz-Neukirch, Leopold von",0.4144164461,0.3171510702
