level,x,y,ID,Verfasser,Seitenzahl,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,LeerTotal,AnstreichungTotal,UnterstreichungTotal,DurchstreichungTotal,SonstigeMarkierungTotal,ZusatzMaterialTotal,AnderesTotal,ProvenienzTotal,StempelTotal,KommentarTotal,BewertungTotal,TextkorrekturTotal,VarianteTotal,UebersetzungTotal,Bio
verfasser,-0.78330517524579,1.0361068529462976,"[Black, Adam u. Charles]","[Black, Adam u. Charles]",548,539,1,0,0,0,1,2,1,1,2,0,0,0,0,539,1,0,0,0,1,2,1,1,2,0,0,0,0,Adam Black (* 20. Februar 1784 in Edinburgh; † 24. Januar 1874 in Edinburgh) war ein schottischer Buchhändler und Politiker. Er war Verleger der 7. bis 9. Auflage der Encyclopædia Britannica und eine zentrale Figur in der Politik Schottlands im 19. Jahrhundert.
verfasser,0.07881543185236883,1.2483312708990275,"[Lawrence, Steven] Edwards, Anni","[Lawrence, Steven] Edwards, Anni",368,360,0,0,0,0,0,5,1,2,0,0,0,0,0,360,0,0,0,0,0,5,1,2,0,0,0,0,0,"Annie Edwards (ca. 1830–1896), auch bekannt als Annie Edwardes, war in der viktorianischen Ära eine bekannte englische Schriftstellerin. Drei ihrer 21 Bücher wurden für das Theater adaptiert."
verfasser,0.5308834083631712,1.6250340120314943,[ohne Angabe],[ohne Angabe],3868,3700,18,6,3,10,0,40,22,26,43,1,4,0,9,3700,18,6,3,10,0,40,22,26,43,1,4,0,9,
verfasser,-4.995441177993206,-3.8617162151867452,"Alexis, Willibald","Alexis, Willibald",2471,1666,431,115,1,115,0,242,6,10,45,94,18,0,0,1666,431,115,1,115,0,242,6,10,45,94,18,0,0,"Willibald Alexis, eigentlich Georg Wilhelm Heinrich Häring (* 29. Juni 1798 in Breslau; † 16. Dezember 1871 in Arnstadt) war ein deutscher Schriftsteller, der als Begründer des realistischen historischen Romans in der deutschen Literatur gilt."
verfasser,-0.1609794065666623,1.2667681390251686,"Ariosto, Ludovico","Ariosto, Ludovico",1788,1712,0,0,0,11,0,18,4,8,1,0,0,0,0,1712,0,0,0,11,0,18,4,8,1,0,0,0,0,"Ludovico Ariosto (deutsch Ariost; * 8. September 1474 in Reggio nell’Emilia; † 6. Juli 1533 in Ferrara) war ein italienischer Humanist, Militär, Höfling und Autor. Sein Hauptwerk, das Versepos Orlando furioso („Der rasende Roland“), gilt als einer der wichtigsten Texte der italienischen Literatur und wurde in ganz Europa rezipiert."
verfasser,-0.8409652548482126,1.1299898884302015,"Baechtold, Jakob","Baechtold, Jakob",1719,1702,3,0,0,0,2,7,3,3,2,0,0,0,0,1702,3,0,0,0,2,7,3,3,2,0,0,0,0,Jakob Baechtold oder Bächtold (* 27. Januar 1848 in Schleitheim; † 7. August 1897 in Zürich) war Schweizer Literaturwissenschafter. Besonders verdient machte sich Baechtold um die Schweizer Literatur. Zum einen wirkte er als Biograf und Nachlassverwalter seines Freundes Gottfried Keller.
verfasser,0.06991749164915251,2.614349368050152,"Baudissin, Wolf von","Baudissin, Wolf von",368,289,0,0,0,0,0,56,2,3,1,0,0,0,0,289,0,0,0,0,0,56,2,3,1,0,0,0,0,"Wolf Ernst Hugo Emil Graf von Baudissin, Pseudonyme: Freiherr von Schlicht und Graf Günther Rosenhagen, (* 30. Januar 1867 in Schleswig; † 4. Oktober 1926 in Weimar) war ein deutscher Schriftsteller, Journalist und Verleger."
verfasser,1.9418632351301577,1.1570730633735096,"Baumbach, Rudolf; Dahn, Felix; Ebers, Georg; Ebner-Eschenbach, Marie von; Eckstein, Ernst; Fontane, Theodor; Franzos, Karl Emil; Fulda, Ludwig; Heyse, Paul; Hopfen, Hans; Jensen, Wilhelm; Lingg, Hermann; Meyer, Conrad Ferdinand; Schubin, Ossip; Spielhagen, Friedrich; Sudermann, Hermann; Voß, Richard; Wichert, Ernst; Wolff, Julius","Baumbach, Rudolf; Dahn, Felix; Ebers, Georg; Ebner-Eschenbach, Marie von; Eckstein, Ernst; Fontane, Theodor; Franzos, Karl Emil; Fulda, Ludwig; Heyse, Paul; Hopfen, Hans; Jensen, Wilhelm; Lingg, Hermann; Meyer, Conrad Ferdinand; Schubin, Ossip; Spielhagen, Friedrich; Sudermann, Hermann; Voß, Richard; Wichert, Ernst; Wolff, Julius",324,314,0,0,0,0,3,4,2,2,0,0,0,0,0,314,0,0,0,0,3,4,2,2,0,0,0,0,0,
verfasser,1.0336263422894492,1.5432687710889235,"Blumenthal, Oscar","Blumenthal, Oscar",118,83,0,0,0,2,0,18,1,2,0,0,0,0,0,83,0,0,0,2,0,18,1,2,0,0,0,0,0,"Oscar Blumenthal, auch Oskar Blumenthal (* 13. März 1852 in Berlin; † 24. April 1917 ebenda) war ein deutscher Schriftsteller, Kritiker und Bühnendichter."
verfasser,0.7598367172279241,0.3902253821375507,"Bodenstedt, Friedrich ","Bodenstedt, Friedrich ",270,260,0,0,1,0,0,3,2,2,0,0,0,0,0,260,0,0,1,0,0,3,2,2,0,0,0,0,0,Friedrich Martin von Bodenstedt (* 22. April 1819 in Peine; † 18. April 1892 in Wiesbaden) war ein deutscher Schriftsteller und Theaterintendant.
