Label,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser
"[Black, Adam u. Charles]",539,1,0,0,0,1,2,1,1,2,0,0,0,0,"[Black, Adam u. Charles]"
"[Lawrence, Steven] Edwards, Anni",360,0,0,0,0,0,5,1,2,0,0,0,0,0,"[Lawrence, Steven] Edwards, Anni"
[ohne Angabe],231.25,1.125,0.375,0.1875,0.625,0,2.5,1.375,1.625,2.6875,0.0625,0.25,0,0.5625,[ohne Angabe]
"Alexis, Willibald",313,86.4,22.6,2,8.6,0,103.6,1.2,2,9.2,18.6,3.6,0,0,"Alexis, Willibald"
"Ariosto, Ludovico",428,0,0,0,2.75,0,4.5,1,2,0.25,0,0,0,0,"Ariosto, Ludovico"
"Baechtold, Jakob",567.333333,1,0,0,0,0.666667,2.333333,1,1,0.666667,0,0,0,0,"Baechtold, Jakob"
"Baudissin, Wolf von",289,0,0,0,0,0,56,2,3,1,0,0,0,0,"Baudissin, Wolf von"
"Baumbach, Rudolf; Dahn, Felix; Ebers, Georg; Ebner-Eschenbach, Marie von; Eckstein, Ernst; Fontane, Theodor; Franzos, Karl Emil; Fulda, Ludwig; Heyse, Paul; Hopfen, Hans; Jensen, Wilhelm; Lingg, Hermann; Meyer, Conrad Ferdinand; Schubin, Ossip; Spielhagen, Friedrich; Sudermann, Hermann; Voß, Richard; Wichert, Ernst; Wolff, Julius",314,0,0,0,0,3,4,2,2,0,0,0,0,0,"Baumbach, Rudolf; Dahn, Felix; Ebers, Georg; Ebner-Eschenbach, Marie von; Eckstein, Ernst; Fontane, Theodor; Franzos, Karl Emil; Fulda, Ludwig; Heyse, Paul; Hopfen, Hans; Jensen, Wilhelm; Lingg, Hermann; Meyer, Conrad Ferdinand; Schubin, Ossip; Spielhagen, Friedrich; Sudermann, Hermann; Voß, Richard; Wichert, Ernst; Wolff, Julius"
"Blumenthal, Oscar",83,0,0,0,2,0,18,1,2,0,0,0,0,0,"Blumenthal, Oscar"
"Bodenstedt, Friedrich ",260,0,0,1,0,0,3,2,2,0,0,0,0,0,"Bodenstedt, Friedrich "
"Böhm, Richard",213,0,0,0,0,0,3,1,2,0,0,0,0,0,"Böhm, Richard"
"Brahm, Otto",58,17,6,0,0,2,0,4,1,7,7,0,0,0,"Brahm, Otto"
"Dahn, Felix",626,6,3,0,2,0,1,1,1,3,0,1,0,0,"Dahn, Felix"
"Fitger, Arthur",111,0,0,0,0,0,4,1,1,1,0,0,0,0,"Fitger, Arthur"
"Fontane, Theodor",448,0.714286,0.678571,0.714286,1.25,1.035714,5.928571,2.035714,1.642857,2.392857,0.035714,0.357143,0.571429,0,"Fontane, Theodor"
"Forster, John",481,0,0,0,0,8,3,1,1,0,0,0,0,0,"Forster, John"
"Freytag, Gustav",117.5,58,8.5,0,248,0,63,2,1,23,17,0,0,0,"Freytag, Gustav"
"Geibel, Emanuel",390,0,0,0,0,0,4,5,2,0,0,0,0,0,"Geibel, Emanuel"
"Gensichen, Otto Franz",92,7,12,0,0,0,1,1,2,11,3,1,0,0,"Gensichen, Otto Franz"
"Goethe, Johann Wolfgang von",745.6,13.2,2.4,0.2,12.2,0,1.2,1,1,8.2,2.4,0.2,0,0,"Goethe, Johann Wolfgang von"
"Hamerling, Robert",196.5,21,5.5,1,1,0,3.5,1,2,17,5.5,4,0,0,"Hamerling, Robert"
"Handtmann, Eduard",266,10,4,0,0,0,0,2,0,1,1,0,0,0,"Handtmann, Eduard"
"Heine, Heinrich",290,11,0,1,8,0,1,3,1,4,7,12,0,0,"Heine, Heinrich"
"Hertz, Wilhelm ",66,0,0,0,0,0,2,1,2,0,0,0,0,0,"Hertz, Wilhelm "
"Heyse, Paul",318.538462,7.615385,2.923077,0.307692,0.615385,0,8.846154,1.692308,2.461538,3.538462,2.384615,0.153846,0,0,"Heyse, Paul"
"Hopfen, Hans",348,47.5,10,1,0.5,0,53.5,2,1.5,15,10.5,2,0,0,"Hopfen, Hans"
"Immermann, Karl",584,40,13,0,4,0,137,1,2,14,26,1,0,0,"Immermann, Karl"
"Lenau, Nikolaus",323.333333,0.333333,1.666667,0,1.333333,0,3,2.666667,2,0.666667,0.666667,1,0,0,"Lenau, Nikolaus"
"Leopardi, Giacomo ",289,0,0,0,0,0,3,1,2,0,0,0,0,0,"Leopardi, Giacomo "
"Lepel, Bernhard von",198,3,2,0.5,1.5,1,13,2.5,1.5,2.5,0,2.5,0,0,"Lepel, Bernhard von"
"Lübke, Wilhelm",962,1.5,0.5,0,1.5,0,14.5,1,1.5,0,0,0,0,0,"Lübke, Wilhelm"
"Lubliner, Hugo",478,0,0,0,1,2,3,6,0,1,0,0,0,0,"Lubliner, Hugo"
"Mantegazza, Paolo ",157,14,3,0,0,0,1,2,1,2,2,1,0,0,"Mantegazza, Paolo "
"Meyer, Paul",47,1,0,0,17,8,0,4,1,18,0,0,0,0,"Meyer, Paul"
"Pantenius, Theodor Hermann ",501,0,0,0,0.5,0,5,2,1.5,1,0,0,0,0,"Pantenius, Theodor Hermann "
"Pietsch, Ludwig",274,23.5,8.5,0,1,0,6.5,1.5,2,0.5,0,0,0,0,"Pietsch, Ludwig"
"Platen, August von ",359.25,8.25,0.5,0.25,2.25,0.25,9.75,1.5,1,0.5,0,0.75,0,0,"Platen, August von "
"Riedel, A.F. ",20,0,1,0,0,0,2,3,1,1,0,0,0,0,"Riedel, A.F. "
"Ritter, Benjamin",755,0.5,0,0.5,1,0,8,1,1,1.5,0,0.5,0,0,"Ritter, Benjamin"
"Rittershaus, Emil",218,0,0,0,6,0,0,2,2,1,0,0,0,0,"Rittershaus, Emil"
"Roquette, Otto ",174,7.666667,1.666667,0.666667,2.333333,0,2.333333,2,1.666667,3.333333,6.333333,0.666667,0,0,"Roquette, Otto "
"Sachs, Karl",871.5,0,0,0,1,0,84,1,1.5,0.5,0,0,0,0,"Sachs, Karl"
"Scherenberg, Christian Friedrich",245.5,5.5,6,11.5,2,0,2.5,3,1,0,0,13.5,0,0,"Scherenberg, Christian Friedrich"
"Schiller, Friedrich von",744,34.333333,10.666667,0,25.666667,0,48,2.666667,2,7,1,0.666667,0,0,"Schiller, Friedrich von"
"Spielhagen, Friedrich",228,0,2,0,9,0,7,3,1,3,0,0,0,0,"Spielhagen, Friedrich"
"Stempel, Max",110,7,0,1,0,0,0,5,3,1,4,2,0,0,"Stempel, Max"
"Storm, Theodor",286.777778,0.777778,0.555556,0.111111,0.444444,0.111111,3.222222,1.333333,2,0.111111,0.111111,0,0,0,"Storm, Theodor"
"Trojan, Johannes",221.5,0,0,0,0,1,3.5,2,2,0.5,0,0,0,0,"Trojan, Johannes"
"Vilmar, A[ugust] F[riedrich] C[hristian] ",461,0,2,0,12,0,6,2,1,1,0,0,0,0,"Vilmar, A[ugust] F[riedrich] C[hristian] "
"Voß, Sophie Marie Gräfin von ",407,12,16,0,3,0,8,2,3,5,0,1,0,0,"Voß, Sophie Marie Gräfin von "
"Wegner, Bertha",291,0,0,0,0,0,1,1,1,0,0,0,0,0,"Wegner, Bertha"
"Wichmann, Herman ",302,1,0,0,0,8,24,1,6,8,0,2,0,0,"Wichmann, Herman "
"Wilbrandt, Adolf",328,16,0,0,0,1,21,1,1,2,2,0,0,0,"Wilbrandt, Adolf"
"Zedlitz-Neukirch, Leopold von",479,1.333333,0.833333,0.166667,0.666667,0.166667,2,1.666667,0.833333,0,0,0.166667,0,0,"Zedlitz-Neukirch, Leopold von"
"Zolling, Theophil",235,0,0,0,0,0,1,1,2,1,0,0,0,0,"Zolling, Theophil"
B454,478,0,0,0,1,2,3,6,0,1,0,0,0,0,"Lubliner, Hugo"
B456,213,0,0,0,0,1,0,5,0,0,0,0,0,0,"Zedlitz-Neukirch, Leopold von"
Handtmann,266,10,4,0,0,0,0,2,0,1,1,0,0,0,"Handtmann, Eduard"
Q1,181,0,0,1,0,0,1,2,1,0,0,0,1,0,"Fontane, Theodor"
